t,attack_bias_m,estimated_x_m,estimated_y_m,estimated_z_m,true_x_m,true_y_m,true_z_m,position_error_m,clock_bias_m,mean_abs_residual_m,max_abs_residual_m,n_satellites,converged,n_iterations
71.0,0.0,-2693916.5262821107,-4297558.388695336,3854273.049936649,-2693926.04767216,-4297473.816608274,3854218.1603911705,101.27169881683588,124.1482847551956,17.726449471898377,38.6317365989089,8,True,2
72.0,0.0,-2693897.8826232343,-4297480.784697444,3854202.186968851,-2693926.04767216,-4297473.816608274,3854218.1603911705,33.12060488978547,47.304598382169914,1.2114826196006365,2.1294484362006187,7,True,2
73.0,0.0,-2693917.407045842,-4297561.645141368,3854267.262639809,-2693926.04767216,-4297473.816608274,3854218.1603911705,100.99278424649016,125.2877293368143,17.60279756085947,29.046002842485905,8,True,2
74.0,0.0,-2693913.6027816893,-4297543.1638473505,3854255.1194736413,-2693926.04767216,-4297473.816608274,3854218.1603911705,79.56059730414975,109.90268539236244,13.3698656167835,21.662741262465715,8,True,2
75.0,0.0,-2693915.1211891137,-4297547.205919908,3854262.207560094,-2693926.04767216,-4297473.816608274,3854218.1603911705,86.28749726381157,119.55428640385514,17.128640790469944,27.9239139854908,8,True,2
76.0,0.0,-2693914.6531482916,-4297546.091493475,3854252.9444367914,-2693926.04767216,-4297473.816608274,3854218.1603911705,81.014961795585,113.84916226874711,15.834403924643993,25.730233311653137,8,True,2
77.0,0.0,-2693899.295596733,-4297474.08956147,3854203.85997715,-2693926.04767216,-4297473.816608274,3854218.1603911705,30.33562071637192,46.866103582791354,4.363789242293153,8.23308914154768,7,True,2
78.0,0.0,-2693912.3128034337,-4297547.948420916,3854268.2002080195,-2693926.04767216,-4297473.816608274,3854218.1603911705,90.48842762862407,121.78024331041766,17.97905339067802,31.087772585451603,8,True,2
79.0,0.0,-2693911.1048747976,-4297536.78897896,3854252.3430818957,-2693926.04767216,-4297473.816608274,3854218.1603911705,73.19332625344008,112.5480983045345,14.944181779399514,28.35449967905879,8,True,2
80.0,0.0,-2693908.1119029196,-4297524.967274305,3854248.5639804555,-2693926.04767216,-4297473.816608274,3854218.1603911705,62.14869825727718,103.99975033898978,11.437727206386626,18.05545051768422,8,True,2
81.0,0.0,-2693917.1679737577,-4297564.027360794,3854281.317723468,-2693926.04767216,-4297473.816608274,3854218.1603911705,110.47930818404743,138.71920121896278,17.130955674219877,29.54899287596345,8,True,2
82.0,0.0,-2693903.241267016,-4297487.632230143,3854209.2614514227,-2693926.04767216,-4297473.816608274,3854218.1603911705,28.110401132646626,61.52927976651322,4.882882799421038,9.613931875675917,7,True,2
83.0,0.0,-2693913.725308026,-4297534.114546788,3854241.5405743564,-2693926.04767216,-4297473.816608274,3854218.1603911705,65.83551482777935,105.91722964288577,9.416762647219002,18.606412287801504,8,True,2
