t,attack_configuration,attack_bias_m,n_attacked_satellites,attack_fraction,clean_position_error_m,attack_position_error_m,delta_position_m,clean_clock_bias_m,attack_clock_bias_m,delta_clock_bias_m,clean_mean_abs_residual_m,attack_mean_abs_residual_m,delta_mean_abs_residual_m,clean_max_abs_residual_m,attack_max_abs_residual_m,n_abnormal_20m,n_abnormal_50m,sign_consistency,clean_converged,attack_converged,time_minutes,temporal_attack_bias_m,attack_active,attack_phase
72.0,3_satellites,20.0,3,0.4285714285714285,33.120604890381955,70.80680988439175,48.87768671693506,47.30459837805255,22.43711925278732,-24.86747912526523,1.211482618536268,3.5668378190270493,2.393461666469063,2.1294484324753284,6.134106460958719,0,0,0.5714285714285714,True,True,1.2,20.0,True,20m
73.0,3_satellites,20.0,3,0.375,100.99278425174364,78.13798024834126,31.067783523203197,125.2877293397432,113.90140884966222,-11.38632049008099,17.60279756085947,21.553731804247946,5.96522352937609,29.04600283876061,37.3612973280251,4,0,0.625,True,True,1.2166666666666666,20.0,True,20m
74.0,3_satellites,20.0,3,0.375,79.56059730730026,59.33749112841367,31.067223967696727,109.90268539190212,98.51610294231077,-11.38658244959136,13.3698656167835,16.097251527942717,5.195197442546487,21.662741258740425,29.97903411835432,3,0,0.625,True,True,1.2333333333333334,20.0,True,20m
75.0,3_satellites,20.0,3,0.375,86.28749725891839,64.32737833846966,31.066622996106307,119.55428639921972,108.16748974520225,-11.386796654017488,17.1286407886073,20.045502833556384,5.005458016414195,27.92391398176551,36.24120116233826,4,0,0.625,True,True,1.25,20.0,True,20m
76.0,3_satellites,20.0,3,0.375,81.01496179278939,61.02962773942929,31.066043960989862,113.84916226549008,102.46212586358315,-11.387036401906895,15.834403925109656,18.180162088945508,5.576300178188831,25.730233311653137,34.04851506650448,4,0,0.625,True,True,1.2666666666666666,20.0,True,20m
77.0,3_satellites,20.0,3,0.4285714285714285,30.335620716754192,71.39781902257765,48.85446233328939,46.86610358355925,22.011421685594552,-24.8546818979647,4.363789241760969,5.2578956208058765,3.1921233689146384,8.23308914154768,12.565428968518972,0,0,0.5714285714285714,True,True,1.2833333333333334,20.0,True,20m
78.0,3_satellites,20.0,3,0.375,90.48842763396225,68.2093635709758,31.06483602828201,121.78024331819682,110.39278029882992,-11.387463019366905,17.97905339160934,21.128377247601748,5.168302018661052,31.087772589176893,39.40804078057408,4,0,0.625,True,True,1.3,20.0,True,20m
79.0,3_satellites,20.0,3,0.375,73.19332625232627,54.36848114361341,31.064262691192475,112.54809830429528,101.16038493377962,-11.387713370515655,14.944181779865175,15.521019231528044,5.451687671709806,28.35449967905879,36.675763718783855,2,0,0.5,True,True,1.3166666666666667,20.0,True,20m
80.0,3_satellites,20.0,3,0.375,62.14869825774427,46.0057237119674,31.063672099850614,103.99975033713936,92.6118039183868,-11.387946418752575,11.437727206852289,13.239765397738664,5.317510228604078,18.05545051768422,26.37770926579833,2,0,0.625,True,True,1.3333333333333333,20.0,True,20m
81.0,3_satellites,20.0,3,0.375,110.47930818066165,86.00903916058388,31.063018218055124,138.71920121591646,127.33110645218386,-11.388094763732596,17.130955674219877,19.85334924608469,4.744189183693379,29.54899287596345,37.8722379617393,3,0,0.625,True,True,1.35,20.0,True,20m
82.0,3_satellites,20.0,3,0.4285714285714285,28.11040112986375,60.16766529451867,48.830984553090815,61.52927976669097,36.6876050472071,-24.84167471948387,4.882882799421038,4.210344639207635,3.3654846580965176,9.613931875675917,8.070777382701635,0,0,0.7142857142857143,True,True,1.3666666666666667,20.0,True,20m
83.0,3_satellites,20.0,3,0.375,65.8355148255692,49.48670335858056,31.06185566261645,105.917229638949,94.52863819437069,-11.388591444578324,9.416762649081647,12.009759158827364,5.055137015879154,18.606412295252085,26.931648306548595,2,0,0.625,True,True,1.3833333333333333,20.0,True,20m
84.0,3_satellites,20.0,3,0.375,66.31933270693,49.05274653118904,31.061239035146038,106.08007972279988,94.69128225382802,-11.38879746897186,10.756392651237547,13.132450480479749,4.400670489761978,21.43382889777422,29.760057896375656,2,0,0.625,True,True,1.4,20.0,True,20m
85.0,3_satellites,20.0,3,0.4285714285714285,31.52762912455026,60.07373969646255,48.81679634442413,65.42007577353496,40.58627746060013,-24.83379831293483,2.770643529615232,2.1188443547913005,1.8187049153660024,5.508497700095177,4.468751300126314,0,0,0.7142857142857143,True,True,1.4166666666666667,20.0,True,20m
86.0,3_satellites,20.0,3,0.375,84.68599416530132,63.90060609932903,31.05998803429389,116.6838111022,105.29462332098922,-11.389187781210794,12.911986351944506,16.857009309809655,5.971516762394458,26.213672269135717,34.54188199341297,3,0,0.625,True,True,1.4333333333333333,20.0,True,20m
87.0,3_satellites,20.0,3,0.4285714285714285,31.529396847343538,65.6108319498378,48.8073177544236,55.02250080116837,30.19396083983524,-24.828539961333128,2.157706942409277,3.969517349664654,2.985785908997059,4.484790321439505,8.749097317457199,0,0,0.7142857142857143,True,True,1.45,20.0,True,20m
88.0,3_satellites,20.0,3,0.4285714285714285,31.627162251921447,67.875718767728,48.80256419049078,52.79087876379366,27.96497941461542,-24.82589934917824,2.659243644880397,5.029066999575922,3.2561515367456844,5.301756173372269,11.506470948457718,0,0,0.7142857142857143,True,True,1.4666666666666666,20.0,True,20m
