t,solved_x,solved_y,solved_z,clock_bias_m,n_satellites_used,converged,mean_abs_residual_m,confidence,kalman_x,kalman_y,kalman_z,raw_x,raw_y,raw_z,raw_error_m,kalman_error_m
900.0,1137297.59203516,5162885.635015068,3562428.4077304667,-1.486224178919111,6,True,1.041057833780845,0.9999501376379886,1137299.051116343,5162892.7446947135,3562430.885704361,1137297.59203516,5162885.635015068,3562428.4077304667,6.083371227607164,2.524439804475015
930.0,1137298.8422412938,5162892.757576574,3562437.367270327,5.2667826106189395,6,True,0.8437030091881752,0.9999718110475443,1137298.993942915,5162892.7482207455,3562432.659843235,1137298.8422412938,5162892.757576574,3562437.367270327,5.89397237760922,2.403508617057764
960.0,1137296.4309183052,5162886.118263311,3562433.9455786496,-3.0275655865371918,6,True,0.8622866484026114,0.999972206796867,1137298.2929982783,5162890.935037568,3562433.0114705036,1137296.4309183052,5162886.118263311,3562433.9455786496,5.268130995359067,1.1914920901681538
990.0,1137301.3067193695,5162891.611420138,3562429.5479313247,4.82434669403883,6,True,0.5926135331392288,0.9999717208823881,1137299.1166399652,5162891.119891064,3562432.0648947703,1137301.3067193695,5162891.611420138,3562429.5479313247,3.8125904308421834,0.8526867136545039
1020.0,1137299.4872377457,5162882.784782314,3562441.5804837155,-3.1923731388651717,6,True,1.0655155840019386,0.9998978171256327,1137299.2157744253,5162888.890259507,3562434.6103033586,1137299.4872377457,5162882.784782314,3562441.5804837155,12.393435247495896,3.1996603215491133
1050.0,1137301.9823114015,5162894.160908922,3562432.327127193,6.382148060731666,6,True,1.134282900641362,0.9999678894418685,1137299.97387077,5162890.334541688,3562433.98465927,1137301.9823114015,5162894.160908922,3562432.327127193,5.036092858679953,2.5092427203048295
1080.0,1137299.7565329368,5162890.4078663485,3562420.3456175644,3.837944388914285,6,True,0.34567175308863324,0.9999591230377054,1137299.9145722399,5162890.354547614,3562430.2633783706,1137299.7565329368,5162890.4078663485,3562420.3456175644,11.647840411299502,2.162879842351741
1110.0,1137296.4011474748,5162886.533227847,3562429.478990435,-1.494222090944671,6,True,0.6995209765930971,0.999964515937497,1137298.9549209566,5162889.310798377,3562430.0491318903,1137296.4011474748,5162886.533227847,3562429.478990435,5.133789474601749,2.264311002981002
1140.0,1137299.4482669858,5162885.319871337,3562427.177061879,-1.4090065915370218,6,True,1.3167671250800292,0.9999348339740907,1137299.088456568,5162888.230560874,3562429.2717391425,1137299.4482669858,5162885.319871337,3562427.177061879,7.090192637967614,3.5391576414431793
1170.0,1137298.8994704229,5162884.305209819,3562432.469698555,-2.7179687677119286,6,True,0.5139495705564817,0.9999510730570053,1137299.0369926451,5162887.161625559,3562430.1425941824,1137298.8994704229,5162884.305209819,3562432.469698555,6.231401548270358,3.82123797621675
1200.0,1137297.2711393565,5162899.96093715,3562428.2733706627,10.953378478663733,6,True,1.280332303295533,0.9998969647257887,1137298.5635961897,5162890.592912166,3562429.6414858545,1137297.2711393565,5162899.96093715,3562428.2733706627,10.219672860249641,2.290122613311014
1230.0,1137301.7198250524,5162893.984038938,3562429.955729754,6.590969918980287,6,True,1.1250644127527873,0.9999643248665838,1137299.4287439696,5162891.522447357,3562429.7276226413,1137301.7198250524,5162893.984038938,3562429.955729754,5.109028082019242,2.583014542108899
1260.0,1137300.9737358456,5162889.921715814,3562443.217929836,2.442798461964817,6,True,1.7452009730041027,0.9998905656634409,1137299.8424685956,5162891.093796521,3562433.3401156166,1137300.9737358456,5162889.921715814,3562443.217929836,11.561386796290064,2.006217116617209
1290.0,1137294.6633904756,5162873.053907072,3562431.709773692,-13.351705410440188,6,True,0.49536209801832837,0.9999371364808621,1137298.432827786,5162886.183701756,3562432.8963693636,1137294.6633904756,5162873.053907072,3562431.709773692,17.87667073573852,4.4274994347444645
1320.0,1137304.777556659,5162903.572205086,3562429.5390431625,16.39610477604381,6,True,1.52824991568923,0.9999350569445145,1137300.1569302632,5162890.90881488,3562431.9840570274,1137304.777556659,5162903.572205086,3562429.5390431625,14.67586117217829,1.6643521841389215
1350.0,1137298.4824121897,5162894.520163266,3562424.134548905,6.3299499926565295,6,True,0.9789205864071846,0.9999619107075913,1137299.6985823328,5162891.897310666,3562429.8354950864,1137298.4824121897,5162894.520163266,3562424.134548905,8.769653279149942,2.7683541156275076
1380.0,1137295.767903435,5162884.403000866,3562431.341131691,-4.130015526883599,6,True,0.833887064208587,0.9999661410241472,1137298.6232592475,5162889.847078493,3562430.247394873,1137295.767903435,5162884.403000866,3562431.341131691,6.727656598322979,1.8074458477148676
1410.0,1137295.7068688946,5162887.212570911,3562425.590439377,-1.1612210683511208,6,True,0.8830197776357332,0.9999524433696698,1137297.8294772236,5162889.130019215,3562428.979866486,1137295.7068688946,5162887.212570911,3562425.590439377,7.68514571326336,3.3312170828421164
1440.0,1137304.725946872,5162904.856425057,3562435.1463630884,15.84143438409111,6,True,0.7056701307495435,0.9999566027032917,1137299.7091020998,5162893.416233052,3562430.6605380476,1137304.725946872,5162904.856425057,3562435.1463630884,15.955811722323304,3.3846836904508177
1470.0,1137304.5028699753,5162890.105667184,3562428.062546285,2.5569621346500684,6,True,1.926598674307267,0.9998775388081227,1137300.9862288532,5162892.53425204,3562429.968396736,1137304.5028699753,5162890.105667184,3562428.062546285,7.115089523128063,3.733472492397539
1500.0,1137301.4400235908,5162891.561730405,3562436.0101540396,3.7483863247192604,6,True,0.7106056958436966,0.9999659265715019,1137301.110761372,5162892.267368009,3562431.6264046235,1137301.4400235908,5162891.561730405,3562436.0101540396,5.11459967723221,3.1296573495279962
1530.0,1137299.5625970527,5162894.095640445,3562427.074351092,7.129278513572271,6,True,2.054520902534326,0.9999021273640702,1137300.6947016101,5162892.758705127,3562430.403067873,1137299.5625970527,5162894.095640445,3562427.074351092,6.125381241757268,3.470702388605273
1560.0,1137299.4578072475,5162889.2986527365,3562436.601352372,2.694619882054062,6,True,0.7803456323842207,0.9999695237939853,1137300.3550727656,5162891.808637255,3562432.10500481,1137299.4578072475,5162889.2986527365,3562436.601352372,4.9101671803009665,2.2397387022531134
1590.0,1137298.27288835,5162900.915805503,3562438.0700450223,12.473404661329065,6,True,0.49192795902490616,0.9999199256659523,1137299.7928996359,5162894.267499803,3562433.7155179325,1137298.27288835,5162900.915805503,3562438.0700450223,12.091467190742014,4.349830747659735
1620.0,1137296.2863272957,5162885.078125516,3562435.944905931,-1.9559566316476296,6,True,1.264081238458554,0.9999550727679357,1137298.8352215344,5162891.757794692,3562434.3243849,1137296.2863272957,5162885.078125516,3562435.944905931,7.116620024155137,2.719152934358154
1650.0,1137300.204238426,5162898.067267305,3562432.4193505407,9.93434731435138,6,True,0.9451922004421552,0.9999510780573568,1137299.2082230765,5162893.476869913,3562433.805340352,1137300.204238426,5162898.067267305,3562432.4193505407,7.759866477922029,3.578187756701875
1680.0,1137299.987028068,5162898.290669104,3562438.692822617,10.59119500857401,6,True,1.252595712741216,0.9999514608783747,1137299.4203483346,5162894.788017642,3562435.1365573425,1137299.987028068,5162898.290669104,3562438.692822617,10.41491164693477,5.423434201323405
1710.0,1137297.8460246734,5162895.525177819,3562430.603572131,5.801275477696938,6,True,0.1285462367037932,0.9999641222369569,1137298.9900912698,5162894.9894809,3562433.897708585,1137297.8460246734,5162895.525177819,3562430.603572131,5.241000979435592,4.919433355722401
1740.0,1137298.9715028845,5162884.822236602,3562433.063561089,-1.3071885122213383,6,True,0.13511445994178453,0.9999611868059624,1137298.9850197367,5162892.215516675,3562433.6701252554,1137298.9715028845,5162884.822236602,3562433.063561089,5.808552062827855,2.481214718102695
1770.0,1137305.0485966094,5162890.082452823,3562429.491671146,3.8189673977981564,6,True,1.3705219713350136,0.9997967222520798,1137300.5631390982,5162891.660360958,3562432.582631937,1137305.0485966094,5162890.082452823,3562429.491671146,6.959480720013547,2.4173958792101735
1800.0,1137296.5209156626,5162886.714265871,3562434.369665426,-0.09898024461861905,6,True,0.7525435909628868,0.9999746388387944,1137299.446484051,5162890.294013419,3562433.0762958815,1137296.5209156626,5162886.714265871,3562434.369665426,4.939559495069121,1.4741718244278592
1830.0,1137298.1370595975,5162900.194927921,3562438.494569529,9.983118679935135,6,True,0.03553213427464167,0.9999382358847378,1137299.0903327744,5162892.986970107,3562434.5500159357,1137298.1370595975,5162900.194927921,3562438.494569529,11.71307571983018,3.651681386556125
1860.0,1137301.3597730014,5162899.743329571,3562433.2918001367,10.764825242336755,6,True,1.651339065283537,0.9998728203006676,1137299.6958052476,5162894.789524598,3562434.214331822,1137301.3597730014,5162899.743329571,3562433.2918001367,9.755482417918085,4.992102132233678
